idClass,idCourse,idLocation,classNumber,idInstructor
90592006,227770,1825,3ART - 3,5952521
90592010,227771,1825,4ART - 1,5952521
90592011,227771,1825,4ART - 2,5952521
90592012,227771,1825,4ART - 3,5952521
90592016,227772,1825,JrKART - 1,5952521
90592017,227772,1825,JrKART - 2,5952521
90592018,227772,1825,JrKART - 3,5952521
90592022,227773,1825,KART - 1,5952521
90592023,227773,1825,KART - 2,5952521
90592024,227773,1825,KART - 3,5952521
90592025,227773,1825,KART - 4,5952521
90592152,227772,1825,JrKART - 4,5952521
90592191,227773,1825,KART - 5,5952521
90592197,227768,1825,1ART - 4,5952521
90592204,227769,1825,2ART - 4,5952521
90592239,227770,1825,3ART - 4,5952521
90592622,228172,1826,R LAB-7,
90592760,253551,1826,M-B,
90592762,253551,1826,M-B,
90592773,287683,1826,2,
90592774,287683,1826,2,
90592825,253551,1826,B-4,
90592826,253551,1826,B-4,
90592830,307272,1826,LIB5 - A,
90592832,307272,1826,LIB5 - A,
90592833,307272,1826,LIB5 - B,
90592834,307272,1826,LIB5 - B,
90592835,307272,1826,LIB5 - C,
90592836,307272,1826,LIB5 - C,
90592837,307272,1826,LIB5 - D,
90592838,307272,1826,LIB5 - D,
90592845,307273,1826,LIB6 - B,
90592846,307273,1826,LIB6 - B,
90592847,307273,1826,LIB6 - C,
90592848,307273,1826,LIB6 - C,
90592849,307273,1826,LIB6 - D,
90592850,307273,1826,LIB6 - D,
90863342,247674,1826,Independent Study Ha,
90863343,247674,1826,Independent Study Ha,
90592358,228155,1826,7/8BAND-F,5737573
90592360,228155,1826,7/8BAND-F,5737573
90592342,228133,1826,8BIB-D,4729517
90592344,228133,1826,8BIB-E,4729517
90592709,283467,1826,6ADV-C,4729499
90592710,283467,1826,6ADV-C,4729499
90592346,228133,1826,8BIB-G,4729517
90592348,228133,1826,8BIB-H,4729517
90592306,228138,1826,7/8BOYSPE,5385055
90592308,228138,1826,7/8BOYSPE,5385055
90592328,228165,1826,7BIB-D,4729382
90592330,228165,1826,7BIB-D,4729382
90592331,228165,1826,7BIB-A,4729382
90592332,228165,1826,7BIB-A,4729382
90592333,228165,1826,7BIB-B,4729382
90592334,228165,1826,7BIB-B,4729382
90592335,228165,1826,7BIB-C,4729382
90592336,228165,1826,7BIB-C,4729382
90592755,247647,1826,7SHALL-4,4729382
90592756,247647,1826,7SHALL-4,4729382
90592352,228137,1826,7ART,4729383
90592354,228137,1826,7ART,4729383
90592542,228139,1826,6ART-A,4729383
90592544,228139,1826,6ART-A,4729383
90592641,264095,1826,5LAN&ARTSURV-B-2,4729383
90592644,264095,1826,5LAN&ARTSURV-B-3,5161275
90592646,264095,1826,5LAN&ARTSURV-B-4,5952518
90592510,228126,1826,6SCI-B,4729388
90592512,228126,1826,6SCI-B,4729388
90592513,228126,1826,6SCI-C,4729388
90592514,228126,1826,6SCI-C,4729388
90592625,228126,1826,6SCI-D,4729388
90592626,228126,1826,6SCI-D,4729388
90592633,228126,1826,6SCI-A,4729388
90592634,228126,1826,6SCI-A,4729388
90592707,283467,1826,6ADV-B,4729388
90592708,283467,1826,6ADV-B,4729388
90592312,228136,1826,7/8GIRLSPE,5385055
90592314,228136,1826,7/8GIRLSPE,5385055
90592530,228130,1826,8SCI-F,4729453
90592532,228130,1826,8SCI-F,4729453
90592533,228130,1826,8SCI-A,4729453
90592534,228130,1826,8SCI-A,4729453
90592535,228130,1826,8SCI-E,4729453
90592536,228130,1826,8SCI-E,4729453
90592537,228130,1826,8SCI-B,4729453
90592538,228130,1826,8SCI-B,4729453
90592591,247674,1826,8SHALL-2,4729453
90592592,247674,1826,8SHALL-2,4729453
90592442,228135,1826,8HIST-D,4729455
90592444,228135,1826,8HIST-D,4729455
90592445,228135,1826,8HIST-E,4729455
90592446,228135,1826,8HIST-E,4729455
90592447,228135,1826,8HIST-F,4729455
90592448,228135,1826,8HIST-F,4729455
90592449,228135,1826,8HIST-H,4729455
90592450,228135,1826,8HIST-H,4729455
90592578,247647,1826,7SHALL-1,4729455
90592580,247647,1826,7SHALL-1,4729455
90592557,240820,1826,5BIB-B,4729464
90592558,240820,1826,5BIB-B,4729464
90592600,240829,1826,5HIST-A,4729464
90592602,240829,1826,5HIST-A,4729464
90592603,240829,1826,5HIST-B,4729464
90592604,240829,1826,5HIST-B,4729464
90592605,240829,1826,5HIST-C,4729464
90592606,240829,1826,5HIST-C,4729464
90592661,240829,1826,5HIST-D,4729464
90592662,240829,1826,5HIST-D,4729464
90592677,283474,1826,5ADV-B,4729464
90592678,283474,1826,5ADV-B,4729464
90592500,228167,1826,5SCI-A,4729469
90592502,228167,1826,5SCI-A,4729469
90592503,228167,1826,5SCI-B,4729469
90592504,228167,1826,5SCI-B,4729469
90592505,228167,1826,5SCI-C,4729469
90592506,228167,1826,5SCI-C,4729469
90592665,228167,1826,5SCI-D,4729469
90592666,228167,1826,5SCI-D,4729469
90592667,240820,1826,5BIB-D,4729469
90592668,240820,1826,5BIB-D,4729469
90592681,283474,1826,5ADV-D,4729469
90592682,283474,1826,5ADV-D,4729469
90592718,228175,1826,5LL,4729487
90592720,228175,1826,5LL,4729487
90592770,287683,1826,1,4729487
90592772,287683,1826,1,4729487
90592823,253551,1826,B-3,4729487
90592824,253551,1826,B-3,4729487
90592855,283474,1826,5ADV-E,4729487
90592856,283474,1826,5ADV-E,4729487
90772273,253551,1826,E-B,4729487
90772274,253551,1826,E-B,4729487
90772298,253551,1826,B-2,4729487
90772299,253551,1826,B-2,4729487
90592318,228123,1826,6BIB-A,5161275
90592320,228123,1826,6BIB-A,5161275
90592321,228123,1826,6BIB-B,5161275
90592322,228123,1826,6BIB-B,5161275
90592323,228123,1826,6BIB-C,5161275
90592324,228123,1826,6BIB-C,5161275
90592697,228123,1826,6BIB-D,5161275
90592698,228123,1826,6BIB-D,5161275
90592364,228158,1826,7/8BOYSCHOIR,4729500
90592366,228158,1826,7/8BOYSCHOIR,4729500
90592370,228159,1826,7/8GIRLSCHOIR,4729500
